branch,marks_10th,marks_12th,gender,board_10th,board_12th,category,gpa_1,rank,normalized_rank,cgpa,current_back,ever_back,gpa_2,gpa_3,gpa_4,gpa_5,gpa_6,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events
ECE,86.55,79.1,Male,CBSE,CBSE,GEN,7.18,30080.0,10.694107142857142,7.125,0.0,0.0,6.88,6.82,6.955,7.63,7.5,4.0,2.0,2.0,3.0,0.0,0.0
CIVIL,77.57,64.6,Male,BSEB,BSEB,OBC,6.29,44718.0,15.970714285714285,6.02,0.0,4.0,6.12,5.94,5.41,6.25,6.13,1.0,4.0,3.0,2.0,0.0,5.0
CSE,86.4,71.8,Male,CBSE,CBSE,GEN,6.47,24222.0,8.650714285714285,6.1,0.0,5.0,6.12,5.88,5.53,6.44,6.19,2.0,2.0,0.0,1.0,0.0,4.0
CSE,88.14,78.0,Male,ICSE,ICSE,GEN,7.35,24723.0,8.829642857142858,6.65,0.0,1.0,6.35,6.54,6.41,6.5,6.69,1.0,1.0,3.0,0.0,0.0,5.0
CSE,65.4,59.8,Female,CBSE,CBSE,ST,6.41,67610.375,23.851026785714282,6.09,0.0,5.0,6.0,5.71,5.24,5.88,6.25,2.0,0.0,2.0,2.0,0.0,1.0
CSE,81.0,74.0,Male,CBSE,CBSE,GEN,6.8,23252.0,8.304285714285715,6.13,0.0,0.0,6.06,5.88,6.0,5.93,5.44,2.0,0.0,2.0,2.0,0.0,1.0
ECE,74.4,82.0,Male,BSEB,CBSE,GEN,6.88,23257.0,8.306071428571428,6.35,0.0,4.0,6.71,6.35,5.94,5.88,4.896250000000002,2.0,0.0,1.0,0.0,2.0,3.0
ECE,83.8,73.0,Female,CBSE,CBSE,SC,7.24,67610.375,23.851026785714282,6.69,0.0,0.0,6.53,6.29,6.12,7.0,7.0,3.0,2.0,1.0,3.0,0.0,3.0
ECE,82.0,78.0,Male,BSEB,BSEB,GEN,7.0,23010.0,8.217857142857143,6.66,0.0,0.0,7.59,6.35,6.35,6.0,5.5,3.0,2.0,1.0,2.0,1.0,0.0
EEE,62.4,60.8,Male,BSEB,BSEB,OBC,5.83,67610.375,23.851026785714282,6.0,0.0,5.0,6.31,6.13,6.06,5.69,6.0,3.0,2.0,1.0,2.0,1.0,0.0
EEE,80.2,63.0,Male,CBSE,CBSE,OBC,6.48,67610.375,23.851026785714282,6.12,0.0,0.0,6.3,5.61,6.2,6.03,5.38,4.0,2.0,2.0,4.0,0.0,5.0
EEE,89.6,80.2,Male,CBSE,CBSE,GEN,6.53,29445.0,10.51607142857143,6.23,0.0,1.0,6.35,6.36,6.41,5.5,5.69,6.0,3.0,3.0,6.0,0.0,5.0
EEE,90.4,65.4,Male,CBSE,CBSE,GEN,6.65,28051.0,10.018214285714286,6.27,0.0,5.0,6.0,6.59,6.12,5.88,6.38,5.0,1.0,4.0,5.0,0.0,5.0
