certification_course,gender,department,heightcm,weightkg,10th_mark,12th_mark,college_mark,hobbies,daily_study_time,prefer_to_study_in,salary_expectation,like_degree,career_willingness,social_media_time,travelling_time_,stress_level,financial_status,parttime_job
no,male,bca,125.0,58.0,79.0,64.0,80.0,video games,0-30_min,morning,40000.0,no,50,1-2_hour,30-60_min,bad,bad,no
no,female,bca,125.0,40.0,70.0,80.0,70.0,cinema,30-60_min,morning,15000.0,yes,75,30-60_min,0-30_min,bad,bad,no
yes,male,bca,159.0,78.0,71.0,61.0,55.0,cinema,1-2_hour,anytime,13000.0,yes,50,2+_hour,30-60_min,awful,bad,no
yes,female,bca,147.0,20.0,70.0,59.0,58.0,reading books,1-2_hour,anytime,40000.0,no,50,1-2_hour,0-30_min,bad,good,no
no,male,bca,170.0,54.0,40.0,65.0,30.0,video games,30-60_min,morning,40000.0,yes,25,1-2_hour,30-60_min,good,good,no
yes,female,bca,139.0,33.0,90.0,75.0,70.0,cinema,30-60_min,night,20000.0,yes,50,30-60_min,0-30_min,bad,good,no
yes,male,bca,165.0,50.0,70.0,63.0,30.0,reading books,1-2_hour,morning,15000.0,yes,75,30-60_min,30-60_min,good,good,no
no,male,bca,152.0,43.0,61.6,61.67,75.0,sports,1-2_hour,morning,25000.0,yes,50,30-60_min,30-60_min,good,good,no
no,male,bca,190.0,85.0,88.2,67.5,60.0,video games,0-30_min,morning,20000.0,yes,75,1-2_hour,30-60_min,bad,bad,no
no,male,bca,150.0,84.0,60.0,65.0,70.0,video games,0-30_min,anytime,20000.0,yes,75,30-60_min,30-60_min,good,good,no
no,male,bca,125.0,50.0,75.0,70.0,60.0,video games,1-2_hour,morning,18000.0,yes,75,30-60_min,0-30_min,good,bad,no
no,female,bca,152.0,51.0,60.0,55.0,65.0,cinema,other,night,20000.0,yes,75,30-60_min,other,bad,bad,no
yes,female,bca,158.0,64.0,59.0,54.0,80.0,reading books,30-60_min,morning,18000.0,yes,75,0-30_min,30-60_min,bad,good,no
no,male,bca,160.0,52.0,50.0,55.0,50.0,cinema,0-30_min,anytime,17.0,yes,75,30-60_min,1-2_hour,good,awful,no
yes,male,bca,160.0,83.0,89.5,69.7,70.0,cinema,30-60_min,anytime,40000.0,yes,75,0-30_min,30-60_min,good,good,no
yes,male,bca,156.0,68.0,54.0,48.0,60.0,video games,30-60_min,anytime,18000.0,yes,75,30-60_min,other,good,bad,no
yes,male,bca,153.0,52.0,83.0,76.0,75.0,sports,1-2_hour,anytime,15000.0,yes,75,1-2_hour,30-60_min,good,good,yes
yes,male,bca,162.0,60.0,62.0,61.3,53.0,cinema,0-30_min,night,0.0,yes,100,30-60_min,30-60_min,bad,bad,no
no,male,bca,150.0,60.0,60.0,65.0,60.0,cinema,0-30_min,anytime,30000.0,yes,100,0-30_min,30-60_min,bad,bad,no
yes,female,bca,125.0,42.0,60.0,70.0,88.0,cinema,30-60_min,anytime,20000.0,yes,100,0-30_min,30-60_min,good,good,no
yes,male,bca,160.0,50.0,65.0,65.0,50.0,sports,30-60_min,anytime,10000.0,yes,75,30-60_min,30-60_min,bad,bad,yes
no,male,bca,154.0,51.0,65.0,70.0,50.0,cinema,1-2_hour,morning,20000.0,yes,50,0-30_min,30-60_min,good,bad,no
no,female,bca,142.0,42.0,78.0,60.0,60.0,cinema,1-2_hour,anytime,25000.0,yes,75,30-60_min,30-60_min,bad,good,no
no,male,bca,180.0,90.0,75.0,73.8,65.0,video games,1-2_hour,morning,18000.0,yes,50,30-60_min,30-60_min,good,good,no
no,male,bca,167.0,85.0,75.0,60.0,80.0,cinema,0-30_min,anytime,20000.0,yes,50,1-2_hour,other,awful,good,no
no,male,bca,125.0,89.0,60.0,50.0,50.0,sports,30-60_min,morning,18000.0,yes,75,30-60_min,30-60_min,bad,good,yes
