student_id,gender,branch,category,department,heightcm,weightkg,financial_status,parttime_job
1,Male,ECE,GEN,bca,125.0,58.0,bad,no
2,Male,CIVIL,OBC,bca,125.0,40.0,bad,no
3,Male,CSE,GEN,bca,159.0,78.0,bad,no
4,Male,CSE,GEN,bca,147.0,20.0,good,no
5,Female,CSE,ST,bca,170.0,54.0,good,no
6,Male,CSE,GEN,bca,139.0,33.0,good,no
7,Male,ECE,GEN,bca,165.0,50.0,good,no
8,Female,ECE,SC,bca,152.0,43.0,good,no
9,Male,ECE,GEN,bca,190.0,85.0,bad,no
10,Male,EEE,OBC,bca,150.0,84.0,good,no
11,Male,EEE,OBC,bca,125.0,50.0,bad,no
12,Male,EEE,GEN,bca,152.0,51.0,bad,no
13,Male,EEE,GEN,bca,158.0,64.0,good,no
14,Female,IT,GEN,bca,160.0,52.0,awful,no
15,Male,MECH,GEN,bca,160.0,83.0,good,no
16,Male,MECH,OBC,bca,156.0,68.0,bad,no
17,Male,MECH,OBC,bca,153.0,52.0,good,yes
18,Male,MECH,GEN,bca,162.0,60.0,bad,no
19,Male,CIVIL,GEN,bca,150.0,60.0,bad,no
20,Male,CIVIL,OBC,bca,125.0,42.0,good,no
21,Male,CIVIL,OBC,bca,160.0,50.0,bad,yes
22,Male,CIVIL,GEN,bca,154.0,51.0,bad,no
23,Male,CIVIL,SC,bca,142.0,42.0,good,no
24,Male,CIVIL,OBC,bca,180.0,90.0,good,no
25,Male,CIVIL,OBC,bca,167.0,85.0,good,no
26,Male,CIVIL,SC,bca,125.0,89.0,good,yes
27,Male,CIVIL,GEN,bca,175.0,73.0,bad,no
28,Male,CIVIL,OBC,bca,151.0,69.0,good,no
29,Male,CIVIL,OBC,bca,145.0,39.0,bad,yes
30,Female,CIVIL,GEN,bca,125.0,40.0,bad,no
31,Male,CIVIL,GEN,bca,151.0,52.0,good,no
32,Male,CIVIL,GEN,bca,158.0,63.0,bad,no
33,Male,CIVIL,GEN,bca,160.0,60.0,awful,no
34,Male,CIVIL,SC,bca,163.0,55.0,bad,no
35,Male,CIVIL,GEN,bca,160.0,70.0,good,no
36,Male,CIVIL,GEN,bca,144.0,50.0,bad,no
37,Male,CSE,GEN,bca,155.0,48.0,good,no
38,Male,CSE,OBC,bca,150.0,45.0,good,no
39,Male,CSE,GEN,bca,185.0,72.0,bad,no
40,Male,CSE,GEN,bca,165.0,50.0,bad,no
41,Male,CSE,GEN,bca,175.0,43.0,good,no
42,Female,CSE,OBC,bca,125.0,35.0,good,no
