student_id,semester
1,5
2,7
3,4
4,6
5,4
6,3
7,2
8,2
9,2
10,2
11,1
12,6
13,3
14,1
15,4
16,8
17,7
18,5
19,8
20,7
21,6
22,4
23,8
24,5
25,4
26,4
27,8
28,5
29,6
30,3
31,3
32,2
33,5
34,1
35,8
36,5
37,3
38,4
39,7
40,2
41,5
42,5
43,3
44,6
45,8
46,7
47,4
48,1
49,1
50,2
51,1
52,4
53,6
54,1
55,7
56,2
57,6
58,8
59,6
60,2
61,3
62,4
63,7
64,7
65,2
66,8
67,2
68,5
69,3
70,5
71,3
72,2
73,4
74,5
75,2
76,8
77,2
78,8
79,8
80,1
81,4
82,4
83,8
84,5
85,3
86,4
87,4
88,4
89,3
90,7
91,3
92,4
93,2
94,6
95,5
96,1
97,5
98,2
99,1
100,4
101,7
102,7
103,5
104,6
105,3
106,1
107,3
108,7
109,4
110,3
111,8
112,1
113,3
114,4
115,2
116,7
117,1
118,4
119,4
120,1
121,6
122,5
123,5
124,1
125,3
126,7
127,2
128,1
129,5
130,4
131,6
132,4
133,8
134,8
135,2
136,7
137,2
138,1
139,1
140,8
141,5
142,6
143,2
144,1
145,6
146,4
147,5
148,8
149,5
150,3
151,4
152,6
153,1
154,2
155,2
156,6
157,8
158,2
159,7
160,8
161,7
162,7
163,5
164,2
165,5
166,2
167,6
168,4
169,2
170,5
171,1
172,5
173,6
174,5
175,7
176,3
177,3
178,4
179,1
180,5
181,1
182,1
183,8
184,2
185,4
186,8
187,1
188,4
189,5
190,6
191,7
192,8
193,5
194,8
195,7
196,7
197,4
198,2
199,6
200,4
201,2
202,6
203,3
204,2
205,8
206,7
207,4
208,3
209,5
210,4
211,4
212,6
213,4
214,2
215,6
216,4
217,2
218,2
219,6
220,8
221,8
222,3
223,4
224,3
225,1
226,5
227,6
228,5
229,1
230,6
231,4
232,2
233,8
234,3
235,4
236,3
237,1
238,3
239,3
240,4
241,8
242,4
243,7
244,5
245,6
246,8
247,8
248,7
249,2
250,4
251,4
252,4
253,3
254,7
255,1
256,1
257,3
258,3
259,8
260,8
261,6
262,5
263,2
264,8
265,3
266,8
267,6
268,7
269,5
270,8
271,8
272,3
273,2
274,5
275,4
276,4
277,2
278,2
279,7
280,8
281,5
282,1
283,1
284,2
285,6
286,3
287,7
288,3
289,8
290,4
291,7
292,3
293,3
294,1
295,4
296,1
297,8
298,8
299,7
300,6
301,3
302,7
303,5
304,7
305,1
306,4
307,1
308,2
309,8
310,1
311,2
312,5
313,2
314,3
315,6
316,4
317,4
318,2
319,7
320,8
321,1
322,7
323,1
324,7
325,4
326,6
327,1
328,1
329,5
330,1
331,2
332,8
333,6
334,6
335,8
336,2
337,3
338,4
339,6
340,8
341,2
342,7
343,3
344,7
345,8
346,8
347,7
348,6
349,2
350,1
351,3
352,5
353,7
354,3
355,2
356,5
357,5
358,1
359,1
360,7
361,6
362,7
363,7
364,8
365,3
366,7
367,5
368,3
369,4
370,6
371,4
372,3
373,4
374,2
375,3
376,3
377,6
378,7
379,3
380,5
381,2
382,6
383,5
384,3
385,8
386,5
387,4
388,5
389,3
390,6
391,1
392,5
393,6
394,4
395,1
396,2
397,1
398,6
399,3
400,3
401,6
402,6
403,3
404,2
405,4
406,7
407,7
408,6
409,6
410,2
411,1
412,5
413,7
414,8
415,6
416,7
417,5
418,7
419,1
420,2
421,3
422,3
423,4
424,3
425,1
426,8
427,1
428,1
429,3
430,2
431,6
432,2
433,4
434,3
435,1
436,1
437,6
438,3
439,2
440,4
441,8
442,1
443,4
444,2
445,3
446,7
447,7
448,2
449,4
450,2
451,1
452,2
453,1
454,4
455,5
456,3
457,7
458,8
459,1
460,5
461,1
462,1
463,7
464,2
465,3
466,4
467,1
468,1
469,1
470,4
471,7
472,7
473,4
474,5
475,7
476,7
477,7
478,2
479,4
480,2
481,5
482,1
483,4
484,3
485,4
486,8
487,8
488,1
489,1
490,2
491,6
492,3
493,3
494,1
495,3
496,3
497,7
498,2
499,2
500,5
501,8
502,5
503,5
504,8
505,6
506,6
507,7
508,4
509,6
510,1
511,4
512,5
513,6
514,4
515,5
516,8
517,4
518,4
519,4
520,5
521,8
522,6
523,1
524,2
525,1
526,1
527,1
528,8
529,3
530,8
531,7
532,4
533,3
534,5
535,3
536,3
537,6
538,4
539,3
540,2
541,7
542,7
543,6
544,8
545,6
546,8
547,6
548,8
549,8
550,4
551,5
552,6
553,5
554,7
555,7
556,1
557,1
558,5
559,3
560,7
561,7
562,1
563,7
564,1
565,4
566,1
567,1
568,8
569,6
570,5
571,8
572,6
573,2
574,1
575,7
576,6
577,7
578,5
579,3
580,6
581,5
582,4
583,8
584,6
585,6
586,1
587,2
588,7
589,3
590,7
591,3
592,1
593,2
594,3
595,2
596,1
597,7
598,6
599,4
600,5
601,3
602,1
603,5
604,7
605,5
606,3
607,7
608,4
609,7
610,4
611,1
612,8
613,7
614,7
615,2
616,1
617,1
618,7
619,6
620,8
621,4
622,7
623,5
624,6
625,8
626,5
627,3
628,7
629,8
630,2
631,3
632,8
633,4
634,5
635,4
636,7
637,2
638,7
639,6
640,2
641,2
642,1
643,2
644,5
645,4
646,6
647,5
648,4
649,3
650,6
651,4
652,1
653,1
654,3
655,4
656,4
657,2
658,6
659,6
660,4
661,3
662,7
663,8
664,1
665,5
666,4
667,2
668,1
669,8
670,2
671,5
672,8
673,6
674,8
675,7
676,3
677,7
678,5
